News Agency,Tweets Ago,Date,Compound,Positive,Negative,Neutral,Tweet
@BBC,65,Sat Jul 21 19:31:05 +0000 2018,-0.4939,0.0,0.741,0.259,"Tweet 65: The ruins of a Cumbrian village have been exposed by the UK drought. 🌡

https://t.co/zCaOtOFM74"
@BBC,66,Sat Jul 21 18:02:06 +0000 2018,0.4404,0.228,0.659,0.114,"Tweet 66: 😂 @RomeshRanga really REALLY can't stand Gogglebox. #LiveAtTheApollo

https://t.co/IMrhnETAg7"
@BBC,67,Sat Jul 21 17:05:05 +0000 2018,0.0,0.0,1.0,0.0,"Tweet 67: How being drawn naked helped these women reclaim their bodies. 
(via @BBCThree) https://t.co/h22GymBo6O"
@BBC,68,Sat Jul 21 16:04:04 +0000 2018,0.0,0.0,1.0,0.0,Tweet 68: Was the 😊the first emoticon? https://t.co/3eZwRPDqbJ
@BBC,69,Sat Jul 21 15:04:19 +0000 2018,0.0,0.0,1.0,0.0,Tweet 69: RT @BBCR1: From @ShawnMendes and @NiallOfficial to @DUALIPA and @ArianaGrande; 10 massive pop collabs we NEED to hear right now 👉 https://t…
@BBC,70,Sat Jul 21 15:04:02 +0000 2018,0.8126,0.37,0.63,0.0,Tweet 70: 👰🎊🤵 @reallorraine and @robbeckettcomic host as two couples play for dream prizes and a chance to get married in fro… https://t.co/JOaddKsXdr
@BBC,71,Sat Jul 21 14:03:06 +0000 2018,0.2023,0.213,0.648,0.139,Tweet 71: A huge iceberg is looming over a village in Greenland. https://t.co/sDLtIq41Fj
@BBC,72,Sat Jul 21 13:03:08 +0000 2018,0.0,0.0,1.0,0.0,"Tweet 72: Would you consider becoming a hedgehog foster parent? 🦔 💕

https://t.co/qTzxBdTy1B"
@BBC,73,Sat Jul 21 12:03:05 +0000 2018,-0.8316,0.0,0.672,0.328,"Tweet 73: Maths, science, history and... death? 🎒📚🤔

Death could be added to the school timetable in Australia. 👉… https://t.co/l6jEPAaK64"
@BBC,74,Sat Jul 21 11:16:04 +0000 2018,0.0,0.0,1.0,0.0,"Tweet 74: 🏃🏃‍♀️ @GabbyLogan presents live coverage from the first day of the #AnniversaryGames at the London Stadium.

Athlet… https://t.co/KD8QAeSMnA"
@BBC,75,Sat Jul 21 10:10:07 +0000 2018,0.5719,0.27,0.73,0.0,Tweet 75: 🏃This 88-year-old runner has celebrated his 200th Parkrun in Manchester. https://t.co/9yG6L3bCye
@BBC,76,Sat Jul 21 09:03:03 +0000 2018,0.7506,0.286,0.714,0.0,"Tweet 76: Amazing innovation 💡
A family in France has become the first to move in to a 3D-printed house. https://t.co/FYDtNW19PL"
@BBC,77,Sat Jul 21 09:02:04 +0000 2018,0.4939,0.158,0.842,0.0,Tweet 77: 🇱🇰 The Sri Lankan schoolgirl turned inventor trying to save the planet one lunchbox at a time. https://t.co/RZlJolph79
@BBC,78,Sat Jul 21 08:32:20 +0000 2018,0.0,0.0,1.0,0.0,Tweet 78: RT @bbcweather: In Pictures: The dramatic effect of the UK heatwave https://t.co/xmdTbUlpTy Jo https://t.co/mKIjUw8Yhs
@BBC,79,Sat Jul 21 08:03:05 +0000 2018,-0.5267,0.0,0.794,0.206,"Tweet 79: ""I was training and missed it. I cried.""  ❤️️

@serenawilliams has opened up about missing her baby's first steps.… https://t.co/h7B11Zrvxy"
@BBC,80,Sat Jul 21 07:03:03 +0000 2018,0.0,0.0,1.0,0.0,"Tweet 80: Should we be allowed to modify human DNA in future children? 🔬

An inquiry has found editing human embryos 'morally… https://t.co/ym7J8WiOLt"
@BBC,81,Fri Jul 20 19:02:04 +0000 2018,-0.4215,0.194,0.543,0.264,Tweet 81: From honeymoon horror to a dine and dash: this is what happens when holiday romances go wrong. 🏝😳💔… https://t.co/o0skuAQ21P
@BBC,82,Fri Jul 20 18:03:08 +0000 2018,0.0,0.0,1.0,0.0,Tweet 82: 🏥🎶 Every member of this choir is here on doctor's orders. https://t.co/5GLpzwPzwU
@BBC,83,Fri Jul 20 17:02:06 +0000 2018,0.0,0.0,1.0,0.0,"Tweet 83: 📺 @louistheroux dives into the BBC Archives and selects his favourite documentaries.

Louis Theroux: Docs That Made… https://t.co/Hun3M35ZEQ"
@BBC,84,Fri Jul 20 15:59:00 +0000 2018,0.4939,0.167,0.833,0.0,Tweet 84: Actual footage of me leaving work for the weekend and not looking back... 👋 #FridayFeeling https://t.co/Ppg3Qk7fj3
@BBC,85,Fri Jul 20 14:56:18 +0000 2018,-0.4767,0.0,0.853,0.147,"Tweet 85: RT @BBCBreaking: Several people wounded in knife attack on bus in northern German city of Luebeck, reports say https://t.co/SS7enQBT3h"
@BBC,86,Fri Jul 20 14:53:06 +0000 2018,-0.6131,0.0,0.808,0.192,"Tweet 86: RT @BBCWomansHour: It's not easy, it can be uncomfortable &amp; nerve racking...📣 so why speak out? @charlottechurch tells us what drives her t…"
@BBC,87,Fri Jul 20 14:52:46 +0000 2018,-0.296,0.0,0.919,0.081,Tweet 87: RT @BBCWomansHour: What does @KatiePrice have to say to her critics? She tells us what pushes her to keep going even when she feels under a…
@BBC,88,Fri Jul 20 14:31:04 +0000 2018,0.0,0.0,1.0,0.0,"Tweet 88: A can of lager and a packet of custard creams are the secret to a long life for Eileen, a Blackpool woman celebrati… https://t.co/y5KL6atB0O"
@BBC,89,Fri Jul 20 13:35:41 +0000 2018,0.0,0.0,1.0,0.0,"Tweet 89: RT @BBCNewsround: Did you know there are 25,000 children addicted to gambling in Britain? Find out more about gambling, gaming and why it i…"
@BBC,90,Fri Jul 20 13:33:22 +0000 2018,0.2235,0.086,0.914,0.0,"Tweet 90: David Attenborough wants you to get out a chair and spot some 🦋🦋🦋 

And you can't say no to such a legend...… https://t.co/PKWvebWrHz"
@BBC,91,Fri Jul 20 13:03:04 +0000 2018,0.7845,0.361,0.639,0.0,"Tweet 91: Korean is rapidly growing in popularity, in a language-learning boom driven by the popularity of the country's… https://t.co/t9EfT4am8g"
@BBC,92,Fri Jul 20 13:01:24 +0000 2018,0.0,0.0,1.0,0.0,Tweet 92: RT @BBCArchive: #OnThisDay 1969: Mankind made one giant leap. https://t.co/Szfw85ebOP
@BBC,93,Fri Jul 20 12:02:04 +0000 2018,-0.5216,0.0,0.64,0.36,Tweet 93: 🐻🍞♥️ Who doesn't love a teddy bear?  https://t.co/Pxd4u1WYLa
